ZONE,District,labour_beds_2022,labour_beds_2040
109,AL MARYAH ISLAND,0,0
110,AL MARYAH ISLAND,0,0
111,AL MARYAH ISLAND,0,0
112,AL MARYAH ISLAND,0,0
113,AL MARYAH ISLAND,0,0
114,AL MARYAH ISLAND,0,0
115,AL MARYAH ISLAND,0,0
116,AL LULU ISLAND,0,0
117,AL LULU ISLAND,0,0
118,AL LULU ISLAND,0,0
119,AL LULU ISLAND,0,0
120,AL LULU ISLAND,0,0
121,AL LULU ISLAND,0,0
122,AL LULU ISLAND,0,0
123,AL LULU ISLAND,0,0
124,AL LULU ISLAND,0,0
125,AL LULU ISLAND,0,0
126,AL LULU ISLAND,0,0
127,AL LULU ISLAND,0,0
128,AL LULU ISLAND,0,0
129,AL LULU ISLAND,0,0
130,AL LULU ISLAND,0,0
131,AL LULU ISLAND,0,0
132,AL LULU ISLAND,0,0
133,AL LULU ISLAND,0,0
134,AL LULU ISLAND,0,0
135,AL LULU ISLAND,0,0
136,AL LULU ISLAND,0,0
137,AL LULU ISLAND,0,0
138,AL HIDAYRIYYAT,0,0
139,AL HIDAYRIYYAT,0,0
140,AL HIDAYRIYYAT,0,0
141,AL HIDAYRIYYAT,0,0
142,AL HIDAYRIYYAT,0,0
143,AL HIDAYRIYYAT,0,0
144,AL HIDAYRIYYAT,0,0
145,AL HIDAYRIYYAT,0,0
146,AL HIDAYRIYYAT,0,0
147,AL HIDAYRIYYAT,0,0
148,AL HIDAYRIYYAT,0,0
149,AL HIDAYRIYYAT,0,0
150,AL HIDAYRIYYAT,0,0
151,AL HIDAYRIYYAT,0,0
152,AL HIDAYRIYYAT,0,0
153,AL HIDAYRIYYAT,0,0
154,AL HIDAYRIYYAT,0,0
155,AL HIDAYRIYYAT,0,0
156,AL HIDAYRIYYAT,0,0
157,AL HIDAYRIYYAT,0,0
158,AL HIDAYRIYYAT,0,0
159,AL HIDAYRIYYAT,0,0
160,AL HIDAYRIYYAT,0,0
161,AL HIDAYRIYYAT,0,0
162,AL HIDAYRIYYAT,0,0
163,AL HIDAYRIYYAT,0,0
164,AL HIDAYRIYYAT,0,0
165,AL HIDAYRIYYAT,0,0
166,AL REEM ISLAND,0,0
167,AL REEM ISLAND,0,0
168,AL REEM ISLAND,0,0
169,AL REEM ISLAND,0,0
170,AL REEM ISLAND,0,0
171,AL REEM ISLAND,0,0
172,AL REEM ISLAND,0,0
173,AL REEM ISLAND,0,0
174,AL REEM ISLAND,0,0
175,AL REEM ISLAND,0,0
176,AL REEM ISLAND,4000,4000
177,AL REEM ISLAND,0,0
178,AL REEM ISLAND,0,0
179,AL REEM ISLAND,0,0
180,AL REEM ISLAND,0,0
181,AL REEM ISLAND,0,0
182,AL REEM ISLAND,0,0
183,AL REEM ISLAND,0,0
184,AL REEM ISLAND,0,0
185,AL REEM ISLAND,0,0
186,AL REEM ISLAND,0,0
187,AL REEM ISLAND,0,0
188,AL REEM ISLAND,0,0
189,AL REEM ISLAND,0,0
190,AL REEM ISLAND,0,0
191,AL REEM ISLAND,0,0
192,AL REEM ISLAND,0,0
193,AL REEM ISLAND,0,0
194,AL REEM ISLAND,0,0
195,AL REEM ISLAND,0,0
196,AL REEM ISLAND,0,0
197,AL REEM ISLAND,0,0
198,AL REEM ISLAND,0,0
199,AL REEM ISLAND,0,0
200,AL REEM ISLAND,0,0
201,AL REEM ISLAND,0,0
202,AL REEM ISLAND,0,0
203,AL REEM ISLAND,0,0
204,AL REEM ISLAND,0,0
205,AL REEM ISLAND,0,0
206,AL REEM ISLAND,0,0
207,AL REEM ISLAND,0,0
208,AL REEM ISLAND,0,0
209,AL REEM ISLAND,0,0
210,AL REEM ISLAND,0,0
211,AL REEM ISLAND,0,0
212,AL REEM ISLAND,0,0
213,AL REEM ISLAND,0,0
214,AL REEM ISLAND,0,0
215,AL REEM ISLAND,0,0
216,AL REEM ISLAND,0,0
217,AL REEM ISLAND,0,0
218,AL REEM ISLAND,0,0
219,AL REEM ISLAND,0,0
220,AL REEM ISLAND,0,0
221,AL REEM ISLAND,0,0
222,AL REEM ISLAND,0,0
223,AL REEM ISLAND,0,0
224,AL REEM ISLAND,0,0
225,AL REEM ISLAND,0,0
226,AL REEM ISLAND,0,0
227,AL REEM ISLAND,0,0
228,AL REEM ISLAND,0,0
229,AL REEM ISLAND,0,0
230,AL REEM ISLAND,0,0
231,AL REEM ISLAND,0,0
232,AL REEM ISLAND,0,0
233,AL REEM ISLAND,0,0
234,AL REEM ISLAND,0,0
235,AL REEM ISLAND,0,0
236,AL REEM ISLAND,0,0
237,AL REEM ISLAND,0,0
238,AL REEM ISLAND,0,0
239,AL REEM ISLAND,0,0
240,AL REEM ISLAND,0,0
241,AL REEM ISLAND,0,0
242,AL REEM ISLAND,0,0
243,AL REEM ISLAND,0,0
244,AL REEM ISLAND,0,0
245,AL REEM ISLAND,0,0
246,AL REEM ISLAND,0,0
247,AL REEM ISLAND,0,0
248,AL REEM ISLAND,0,0
249,AL REEM ISLAND,0,0
250,AL REEM ISLAND,0,0
251,AL REEM ISLAND,0,0
252,AL REEM ISLAND,0,0
253,AL REEM ISLAND,0,0
254,AL REEM ISLAND,0,0
255,AL REEM ISLAND,0,0
256,AL REEM ISLAND,0,0
257,AL REEM ISLAND,0,0
258,AL REEM ISLAND,0,0
259,AL REEM ISLAND,0,0
260,AL REEM ISLAND,0,0
261,AL REEM ISLAND,0,0
262,AL HIDAYRIYYAT,0,0
263,AL REEM ISLAND,0,0
264,AL REEM ISLAND,0,0
265,AL REEM ISLAND,0,0
266,AL REEM ISLAND,0,0
267,AL REEM ISLAND,0,0
268,AL REEM ISLAND,0,0
269,AL REEM ISLAND,0,0
270,AL REEM ISLAND,0,0
271,AL REEM ISLAND,0,0
272,AL REEM ISLAND,0,0
273,AL REEM ISLAND,0,0
274,AL REEM ISLAND,0,0
275,AL REEM ISLAND,0,0
276,AL HIDAYRIYYAT,0,0
277,AL REEM ISLAND,0,0
278,AL HIDAYRIYYAT,0,0
279,AL REEM ISLAND,0,0
280,AL REEM ISLAND,0,0
281,AL REEM ISLAND,0,0
282,AL REEM ISLAND,0,0
283,AL REEM ISLAND,0,0
284,AL REEM ISLAND,0,0
285,AL REEM ISLAND,0,0
286,AL REEM ISLAND,0,0
287,AL REEM ISLAND,0,0
288,AL HIDAYRIYYAT,0,0
289,AL REEM ISLAND,0,0
290,AL REEM ISLAND,0,0
291,AL REEM ISLAND,0,0
292,AL REEM ISLAND,0,0
293,AL HIDAYRIYYAT,0,0
294,AL REEM ISLAND,0,0
295,AL REEM ISLAND,0,0
296,AL HIDAYRIYYAT,0,0
297,AL REEM ISLAND,0,0
298,AL REEM ISLAND,0,0
299,AL REEM ISLAND,0,0
300,AL REEM ISLAND,0,0
301,AL REEM ISLAND,0,0
302,AL REEM ISLAND,0,0
303,AL REEM ISLAND,0,0
304,AL REEM ISLAND,0,0
305,AL REEM ISLAND,0,0
306,AL REEM ISLAND,0,0
307,AL REEM ISLAND,0,0
308,AL REEM ISLAND,0,0
309,AL HIDAYRIYYAT,0,0
310,AL REEM ISLAND,0,0
311,AL REEM ISLAND,0,0
312,AL REEM ISLAND,0,0
313,AL REEM ISLAND,0,0
314,AL REEM ISLAND,0,0
315,AL REEM ISLAND,0,0
316,AL REEM ISLAND,0,0
317,AL REEM ISLAND,0,0
318,AL HIDAYRIYYAT,0,0
319,AL REEM ISLAND,0,0
320,AL REEM ISLAND,0,0
321,AL REEM ISLAND,0,0
322,AL REEM ISLAND,0,0
323,AL REEM ISLAND,0,0
324,AL REEM ISLAND,0,0
325,AL HIDAYRIYYAT,0,0
326,AL REEM ISLAND,0,0
327,AL REEM ISLAND,0,0
328,AL REEM ISLAND,0,0
329,AL REEM ISLAND,0,0
330,AL REEM ISLAND,0,0
331,AL REEM ISLAND,0,0
332,AL REEM ISLAND,0,0
333,AL HIDAYRIYYAT,0,0
334,AL REEM ISLAND,0,0
335,AL REEM ISLAND,0,0
336,AL REEM ISLAND,0,0
337,AL REEM ISLAND,0,0
338,AL REEM ISLAND,0,0
339,ZAYED PORT,0,0
340,ZAYED PORT,0,0
341,ZAYED PORT,0,0
342,ZAYED PORT,0,0
343,ZAYED PORT,0,0
344,ZAYED PORT,0,0
345,ZAYED PORT,0,0
346,ZAYED PORT,0,0
347,ZAYED PORT,0,0
348,ZAYED PORT,0,0
349,ZAYED PORT,0,0
350,ZAYED PORT,0,0
351,ZAYED PORT,0,0
352,ZAYED PORT,0,0
353,ZAYED PORT,0,0
354,ZAYED PORT,0,0
355,ZAYED PORT,0,0
356,ZAYED PORT,0,0
357,ZAYED PORT,0,0
358,AL ZAHIYAH,0,0
359,ZAYED PORT,0,0
360,ZAYED PORT,0,0
361,ZAYED PORT,0,0
362,ZAYED PORT,0,0
363,ZAYED PORT,0,0
364,ZAYED PORT,0,0
365,ZAYED PORT,0,0
366,ZAYED PORT,0,0
367,ZAYED PORT,0,0
368,ZAYED PORT,0,0
369,ZAYED PORT,0,0
370,ZAYED PORT,0,0
371,ZAYED PORT,0,0
372,AL KASIR,0,0
373,AL MANHAL,0,0
374,AL MANHAL,0,0
375,AL MANHAL,0,0
376,AL NAHYAN,0,0
377,AL MUSHRIF,0,0
378,AL MANHAL,0,0
379,AL NAHYAN,0,0
380,AL MUSHRIF,0,0
381,AL NAHYAN,0,0
382,AL MANHAL,0,0
383,AL NAHYAN,0,0
384,AL MANHAL,0,0
385,AL MUSHRIF,0,0
386,AL NAHYAN,0,0
387,AL MUSHRIF,0,0
388,AL MANHAL,0,0
389,AL NAHYAN,0,0
390,AL NAHYAN,0,0
391,AL NAHYAN,0,0
392,AL NAHYAN,0,0
393,AL MANHAL,0,0
394,AL NAHYAN,0,0
395,AL NAHYAN,0,0
396,AL NAHYAN,0,0
397,AL NAHYAN,0,0
398,AL MANHAL,0,0
399,AL MUSHRIF,0,0
400,AL MANHAL,0,0
401,AL MUSHRIF,0,0
402,AL MUSHRIF,0,0
403,AL MANHAL,0,0
404,AL NAHYAN,0,0
405,AL NAHYAN,0,0
406,AL MANHAL,0,0
407,AL NAHYAN,0,0
408,AL MANHAL,0,0
409,AL NAHYAN,0,0
410,AL MANHAL,0,0
411,AL MUSHRIF,0,0
412,AL NAHYAN,0,0
413,AL MUSHRIF,0,0
414,AL MUSHRIF,0,0
415,AL KASIR,0,0
416,AL MUSHRIF,0,0
417,AL NAHYAN,0,0
418,AL NAHYAN,0,0
419,AL NAHYAN,0,0
420,AL MUSHRIF,0,0
421,AL NAHYAN,0,0
422,AL MANHAL,0,0
423,AL MANHAL,0,0
424,AL NAHYAN,0,0
425,AL BATEEN,0,0
426,AL BATEEN,0,0
427,AL MANHAL,0,0
428,AL BATEEN,0,0
429,AL MUSHRIF,0,0
430,AL BATEEN,0,0
431,AL BATEEN,0,0
432,AL NAHYAN,0,0
433,AL BATEEN,0,0
434,AL BATEEN,0,0
435,AL BATEEN,0,0
436,AL NAHYAN,0,0
437,AL BATEEN,0,0
438,AL BATEEN,0,0
439,AL BATEEN,0,0
440,AL BATEEN,0,0
441,AL BATEEN,0,0
442,AL BATEEN,0,0
443,AL BATEEN,0,0
444,AL BATEEN,0,0
445,QASR AL BAHR,0,0
446,AL BATEEN,0,0
447,AL BATEEN,0,0
448,AL BATEEN,0,0
449,AL BATEEN,0,0
450,AL MUSHRIF,0,0
451,AL MUSHRIF,0,0
452,AL MUSHRIF,0,0
453,AL MUSHRIF,0,0
454,AL MUSHRIF,0,0
455,AL MUSHRIF,0,0
456,AL MUSHRIF,0,0
457,AL MUSHRIF,0,0
458,AL MUSHRIF,0,0
459,AL MUSHRIF,0,0
460,AL MUSHRIF,0,0
461,HADBAT AL ZA'FARANAH,0,0
462,HADBAT AL ZA'FARANAH,0,0
463,AL QURM,0,0
464,HADBAT AL ZA'FARANAH,0,0
465,AL MUSHRIF,0,0
466,AL MUSHRIF,0,0
467,HADBAT AL ZA'FARANAH,0,0
468,HADBAT AL ZA'FARANAH,0,0
469,AL MUSHRIF,0,0
470,HADBAT AL ZA'FARANAH,0,0
471,AL MUSHRIF,0,0
472,HADBAT AL ZA'FARANAH,0,0
473,HADBAT AL ZA'FARANAH,0,0
474,AL QURM,0,0
475,HADBAT AL ZA'FARANAH,0,0
476,HADBAT AL ZA'FARANAH,0,0
477,AL MUSHRIF,0,0
478,HADBAT AL ZA'FARANAH,0,0
479,AL MUSHRIF,0,0
480,AL MUSHRIF,0,0
481,HADBAT AL ZA'FARANAH,0,0
482,HADBAT AL ZA'FARANAH,0,0
483,HADBAT AL ZA'FARANAH,0,0
484,HADBAT AL ZA'FARANAH,0,0
485,AL MUSHRIF,0,0
486,HADBAT AL ZA'FARANAH,0,0
487,AL MUSHRIF,0,0
488,HADBAT AL ZA'FARANAH,0,0
489,AL QURM,0,0
490,HADBAT AL ZA'FARANAH,0,0
491,HADBAT AL ZA'FARANAH,0,0
492,HADBAT AL ZA'FARANAH,0,0
493,AL QURM,0,0
494,HADBAT AL ZA'FARANAH,0,0
495,AL RAWDAH,0,0
496,AL RAWDAH,0,0
497,AL RAWDAH,0,0
498,AL RAWDAH,0,0
499,AL RAWDAH,0,0
500,AL SA'ADAH,0,0
501,AL SA'ADAH,0,0
502,AL SA'ADAH,0,0
503,AL RAWDAH,0,0
504,AL RAWDAH,0,0
505,AL RAWDAH,0,0
506,AL SA'ADAH,0,0
507,AL MUZOUN,0,0
508,AL SA'ADAH,0,0
509,AL SA'ADAH,0,0
510,AL SA'ADAH,0,0
511,AL MUZOUN,0,0
512,AL RAWDAH,0,0
513,AL SA'ADAH,0,0
514,AL SA'ADAH,0,0
515,AL RAWDAH,0,0
516,AL SA'ADAH,0,0
517,AL SA'ADAH,0,0
518,AL SA'ADAH,0,0
519,AL MUZOUN,0,0
520,AL SA'ADAH,0,0
521,AL SA'ADAH,0,0
522,AL SA'ADAH,0,0
523,AL KHEERAN,0,0
524,AL MUNTAZAH,0,0
525,AL MUNTAZAH,0,0
526,AL KHEERAN,0,0
527,AL SA'ADAH,0,0
528,AL KHEERAN,0,0
529,AL MUNTAZAH,0,0
530,AL RAWDAH,0,0
531,AL RAWDAH,0,0
532,AL RAWDAH,0,0
533,AL RAWDAH,0,0
534,AL MUZOUN,0,0
535,AL RAWDAH,0,0
536,AL RAWDAH,0,0
537,AL MUZOUN,0,0
538,AL RAWDAH,0,0
539,AL RAWDAH,0,0
540,AL RAWDAH,0,0
541,AL RAWDAH,0,0
542,AL RAWDAH,0,0
543,AL RAWDAH,0,0
544,AL ZAHIYAH,0,0
545,AL HISN,0,0
546,AL HISN,0,0
547,AL HISN,0,0
548,AL HISN,0,0
549,AL HISN,0,0
550,AL HISN,0,0
551,AL HISN,0,0
552,AL HISN,0,0
553,AL KHALIDIYAH,0,0
554,AL HISN,0,0
555,AL HISN,0,0
556,AL BATEEN,0,0
557,AL HISN,0,0
558,AL HISN,0,0
559,AL KHALIDIYAH,0,0
560,AL HISN,0,0
561,AL HISN,0,0
562,AL HISN,0,0
563,AL KHALIDIYAH,0,0
564,AL KHALIDIYAH,0,0
565,AL DANAH,0,0
566,AL HISN,0,0
567,AL DANAH,0,0
568,AL DANAH,0,0
569,AL DANAH,0,0
570,AL BATEEN,0,0
571,AL DANAH,0,0
572,AL HISN,0,0
573,AL KHALIDIYAH,0,0
574,AL DANAH,0,0
575,AL MANHAL,0,0
576,AL BATEEN,0,0
577,AL KHALIDIYAH,0,0
578,AL DANAH,0,0
579,AL DANAH,0,0
580,AL DANAH,0,0
581,AL KHALIDIYAH,0,0
582,AL KHALIDIYAH,0,0
583,AL DANAH,0,0
584,AL DANAH,0,0
585,AL DANAH,0,0
586,AL DANAH,0,0
587,AL BATEEN,0,0
588,AL DANAH,0,0
589,AL DANAH,0,0
590,AL BATEEN,0,0
591,AL DANAH,0,0
592,AL DANAH,0,0
593,AL DANAH,0,0
594,AL DANAH,0,0
595,AL DANAH,0,0
596,AL MANHAL,0,0
597,AL KHALIDIYAH,0,0
598,AL BATEEN,0,0
599,AL MANHAL,0,0
600,AL BATEEN,0,0
601,AL BATEEN,0,0
602,AL DANAH,0,0
603,AL DANAH,0,0
604,AL MANHAL,0,0
605,AL BATEEN,0,0
606,AL MANHAL,0,0
607,AL DANAH,0,0
608,AL KHALIDIYAH,0,0
609,AL DANAH,0,0
610,AL DANAH,0,0
611,AL DANAH,0,0
612,AL BATEEN,0,0
613,AL DANAH,0,0
614,AL KHALIDIYAH,0,0
615,AL DANAH,0,0
616,AL DANAH,0,0
617,AL MANHAL,0,0
618,AL BATEEN,0,0
619,AL BATEEN,0,0
620,AL DANAH,0,0
621,AL DANAH,0,0
622,AL DANAH,0,0
623,AL MANHAL,0,0
624,AL BATEEN,0,0
625,AL BATEEN,0,0
626,AL MANHAL,0,0
627,AL DANAH,0,0
628,AL DANAH,0,0
629,AL BATEEN,0,0
630,AL DANAH,0,0
631,AL MANHAL,0,0
632,AL DANAH,0,0
633,AL DANAH,0,0
634,AL DANAH,0,0
635,AL DANAH,0,0
636,AL DANAH,0,0
637,AL KHALIDIYAH,0,0
638,AL KHALIDIYAH,0,0
639,AL DANAH,0,0
640,AL BATEEN,0,0
641,AL BATEEN,0,0
642,AL BATEEN,0,0
643,AL BATEEN,0,0
644,AL DANAH,0,0
645,AL BATEEN,0,0
646,AL DANAH,0,0
647,AL DANAH,0,0
648,AL DANAH,0,0
649,AL DANAH,0,0
650,AL DANAH,0,0
651,AL DANAH,0,0
652,AL BATEEN,0,0
653,AL DANAH,0,0
654,AL DANAH,0,0
655,AL DANAH,0,0
656,AL DANAH,0,0
657,AL DANAH,0,0
658,AL BATEEN,0,0
659,AL DANAH,0,0
660,AL DANAH,0,0
661,AL DANAH,0,0
662,AL DANAH,0,0
663,AL BATEEN,0,0
664,AL NAHYAN,0,0
665,AL DANAH,0,0
666,AL DANAH,0,0
667,AL BATEEN,0,0
668,AL BATEEN,0,0
669,AL DANAH,0,0
670,AL DANAH,0,0
671,AL DANAH,0,0
672,AL BATEEN,0,0
673,AL DANAH,0,0
674,AL DANAH,0,0
675,AL BATEEN,0,0
676,AL DANAH,0,0
677,AL ZAHIYAH,0,0
678,AL ZAHIYAH,0,0
679,AL DANAH,0,0
680,AL BATEEN,0,0
681,AL DANAH,0,0
682,AL BATEEN,0,0
683,AL DANAH,0,0
684,AL RAS AL AKHDAR,0,0
685,AL ZAHIYAH,0,0
686,AL ZAHIYAH,0,0
687,AL ZAHIYAH,0,0
688,AL BATEEN,0,0
689,AL DANAH,0,0
690,AL DANAH,0,0
691,AL ZAHIYAH,0,0
692,AL ZAHIYAH,0,0
693,AL ZAHIYAH,0,0
694,AL ZAHIYAH,0,0
695,AL BATEEN,0,0
696,AL ZAHIYAH,0,0
697,AL DANAH,0,0
698,AL ZAHIYAH,0,0
699,AL DANAH,0,0
700,AL ZAHIYAH,0,0
701,AL ZAHIYAH,0,0
702,AL ZAHIYAH,0,0
703,AL DANAH,0,0
704,AL ZAHIYAH,0,0
705,AL ZAHIYAH,0,0
706,AL DANAH,0,0
707,AL ZAHIYAH,0,0
708,AL ZAHIYAH,0,0
709,AL ZAHIYAH,0,0
710,AL ZAHIYAH,0,0
711,AL ZAHIYAH,0,0
712,AL ZAHIYAH,0,0
713,AL ZAHIYAH,0,0
714,AL RAS AL AKHDAR,0,0
715,AL ZAHIYAH,0,0
716,ZAYED PORT,0,0
717,ZAYED PORT,0,0
718,RABDAN,0,0
719,RABDAN,0,0
720,RABDAN,0,0
721,KHALIFA CITY,0,0
722,RABDAN,0,0
723,RABDAN,0,0
724,RABDAN,0,0
725,RABDAN,0,0
726,SAS AL NAKHL,0,0
727,RABDAN,0,0
728,KHALIFA CITY,0,0
729,SAS AL NAKHL,0,0
730,KHALIFA CITY,0,0
731,SAS AL NAKHL,0,0
732,RABDAN,0,0
733,RABDAN,0,0
734,MOHAMED BIN ZAYED CITY,0,0
735,MOHAMED BIN ZAYED CITY,0,0
736,MOHAMED BIN ZAYED CITY,0,0
737,MOHAMED BIN ZAYED CITY,0,0
738,MOHAMED BIN ZAYED CITY,0,0
739,MOHAMED BIN ZAYED CITY,0,0
740,MOHAMED BIN ZAYED CITY,0,0
741,MOHAMED BIN ZAYED CITY,0,0
742,MOHAMED BIN ZAYED CITY,0,0
743,MOHAMED BIN ZAYED CITY,0,0
744,MOHAMED BIN ZAYED CITY,0,0
745,MOHAMED BIN ZAYED CITY,0,0
746,MOHAMED BIN ZAYED CITY,0,0
747,MOHAMED BIN ZAYED CITY,0,0
748,MOHAMED BIN ZAYED CITY,0,0
749,MOHAMED BIN ZAYED CITY,0,0
750,MOHAMED BIN ZAYED CITY,0,0
751,MOHAMED BIN ZAYED CITY,0,0
752,MOHAMED BIN ZAYED CITY,0,0
753,MOHAMED BIN ZAYED CITY,0,0
754,MOHAMED BIN ZAYED CITY,0,0
755,MOHAMED BIN ZAYED CITY,0,0
756,MOHAMED BIN ZAYED CITY,0,0
757,MOHAMED BIN ZAYED CITY,0,0
758,MOHAMED BIN ZAYED CITY,0,0
759,MOHAMED BIN ZAYED CITY,0,0
760,MOHAMED BIN ZAYED CITY,0,0
761,MOHAMED BIN ZAYED CITY,0,0
762,MOHAMED BIN ZAYED CITY,0,0
763,MOHAMED BIN ZAYED CITY,0,0
764,MOHAMED BIN ZAYED CITY,0,0
765,MOHAMED BIN ZAYED CITY,0,0
766,MOHAMED BIN ZAYED CITY,0,0
767,MOHAMED BIN ZAYED CITY,0,0
768,MOHAMED BIN ZAYED CITY,0,0
769,MOHAMED BIN ZAYED CITY,0,0
770,MOHAMED BIN ZAYED CITY,0,0
771,MOHAMED BIN ZAYED CITY,0,0
772,MOHAMED BIN ZAYED CITY,0,0
773,MOHAMED BIN ZAYED CITY,0,0
774,MOHAMED BIN ZAYED CITY,0,0
775,MOHAMED BIN ZAYED CITY,0,0
776,MOHAMED BIN ZAYED CITY,0,0
777,MOHAMED BIN ZAYED CITY,0,0
778,MOHAMED BIN ZAYED CITY,0,0
779,MOHAMED BIN ZAYED CITY,0,0
780,MOHAMED BIN ZAYED CITY,0,0
781,MOHAMED BIN ZAYED CITY,0,0
782,MOHAMED BIN ZAYED CITY,0,0
783,MOHAMED BIN ZAYED CITY,0,0
784,MOHAMED BIN ZAYED CITY,0,0
785,MOHAMED BIN ZAYED CITY,0,0
786,ABU DHABI INDUSTRIAL CITY,0,0
787,ABU DHABI INDUSTRIAL CITY,0,0
788,MUSAFFAH,13385,13535
789,ABU DHABI INDUSTRIAL CITY,6000,6000
790,ABU DHABI INDUSTRIAL CITY,0,0
791,ABU DHABI INDUSTRIAL CITY,0,1864
792,MUSAFFAH,0,39
793,ABU DHABI INDUSTRIAL CITY,0,329
794,ABU DHABI INDUSTRIAL CITY,0,0
795,ABU DHABI INDUSTRIAL CITY,0,0
796,ABU DHABI INDUSTRIAL CITY,0,67
797,ABU DHABI INDUSTRIAL CITY,0,1957
798,ABU DHABI INDUSTRIAL CITY,0,0
799,ABU DHABI INDUSTRIAL CITY,0,4281
800,MUSAFFAH,0,0
801,ABU DHABI INDUSTRIAL CITY,10368,10368
802,ABU DHABI INDUSTRIAL CITY,0,0
803,ABU DHABI INDUSTRIAL CITY,0,1831
804,MUSAFFAH,0,0
805,ABU DHABI INDUSTRIAL CITY,58000,84806
