ID,Municipality,ProjectID,Include in Summary,Project Name,Parent Project Number,MP Lvl,Developer,District,2024Precinct,Pr_Order,2014 Precinct,Stage Name,Approved,Approval Year,Total GFA,Residential Population,Residential Units,Apt,Villa,Residential GFA,Retail GFA,Office GFA,Hotel GFA,Community Facilities GFA,Industrial GFA,Other GFA,Education GFA,Health Care GFA,Other_CF,Approved Completion Year,Notes,EH,Un allocated Villa Plots,Phasing_Note,Planning Status,Delivery Status,Major,Link,Updated,TMP TAZs,TAZ_Mapping_Remarks,POP NONLAB,RES GFA,RETAIL GFA,OFFICE GFA,TMP Aligned,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Check,2040_Assignment
11,Abu Dhabi,1170.1,No,Al Maryah Phase 1 & 2,1170.0,Level 1,Mubadala,AL MARYAH ISLAND,CBD-Mina- Reem-Maryah,1,Al Maryah,Detailed: MinorAmendment (2),Yes,2018,2008104,13856,5711,5711,0,625000,303948,464376,282496,320134,0,12150,,,,NA,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,0.74,0.74,0.74
12,Abu Dhabi,Mina Zayed,No,Mina Zayed Vision,,Level 0,Aldar,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Pre-Concept,No,NA,6222400,118800,NA,NA,NA,4094339.2,479124.8,255118.4,93336,398233.6,267563.2,634684.8,,,,NA,Preliminary Framework plan - Residential Focus may be tempered in future revisions,,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
13,Abu Dhabi,36681.0,Yes,MZ AD Ports Masterplan,,Level 1,AD Ports,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Enquiry,No,NA,997322,0,0,0,0,0,267167,441540,202278,47235,39102,0,,,,NA,,,,Not Approved / Lapsed,Future,Future,No,folder,,9,,38,1745,6984,257,No,,,,,,,,,,,,,,,,,0,0,0
14,Abu Dhabi,16775.0,Yes,Mina Zayed_Phase 1,,Level 1,Aldar,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Pre-Concept,No,NA,1999349,42242.45714,,,,1478486,100000,68785,40000,156195,0,155883,,,,NA,,,,Not Approved / Lapsed,Future,Future,Yes,folder,,5,,29153,942225,178145,290864,No,,,,,,,,,,,,,,,,,0.5,0.5,0.5
15,Abu Dhabi,24996.0,Yes,"MZ Fisherman's Wharf Souqs
",,Level 1,Modon,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Detailed,Yes,2022,82955,491,150,150,0,17000,52300,0,2000,11655,0,0,,,,2024,,,,Partially Delivered,Committed,Pipeline,Yes,folder,,4,,491,17000,52300,0,Yes,,,1,,,,,,,,,,,,,,,1,1
16,Abu Dhabi,25087.0,Yes,MIZA Master Plan,,Level 1,SHF / LITE,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Detailed (1),Yes,2023,248987,2116,937,861,76,71050,29335,89911,10951,47739,0,0,3031,0,44708,2026,,,,Partially Delivered,Planned,Pipeline,Yes,folder,Updated,1,,965,32343,2231,1067,No,,,,,,,1,,,,,,,,,,,1,1
17,Abu Dhabi,25087.x,Yes,Mina Zayed  - Rest of Phase 2,,Level 1,Aldar,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Pre-Concept,No,NA,1470000,23142.85714,,,,810000,80000,400000,30000,100000,50000,,,,,NA,,,,Not Approved / Lapsed,Future,Future,Yes,folder,,8,,9095,246188,55344,37784,No,,,,,,,,,,,,,,,,,0.5,0.5,0.5
18,Abu Dhabi,Mina Zayed_Phase 3,Yes,Mina Zayed - Phase 3,,Level 1,Aldar,ZAYED PORT,CBD-Mina- Reem-Maryah,1,Al Meena,Pre-Concept,No,NA,1460000,25714.28571,,,,900000,150000,350000,60000,0,0,0,,,,NA,,,,Not Approved / Lapsed,Future,Future,Yes,folder,,13,,8144,510456,53312,125837,No,,,,,,,,,,,,,,,,,0.3,0.3,0.3
19,Abu Dhabi,1085.0,Yes,Saraya MP,,Level 0,Aldar,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,CBD,Detailed (5),Yes,2016,689911,8665,2713,2713,0,364156,7629,151377,82522,84227,0,0,,,,2030,,,,Partially Delivered,Committed,Pipeline,,folder,,2,,26869,653570,21255,47445,No,,,,,,,1,,,,,,,,,,,1,1
20,Abu Dhabi,1118.0,Yes,World Trade Centre,,Level 0,Aldar,AL DANAH,CBD-Mina- Reem-Maryah,1,CBD,Detailed (2),Yes,2009,442830,1535,474,474,0,134618,172608,115042,14108,2721,0,3733,,,,Completed,,,,Completed,Completed,Completed,,folder,,2,,3258,103406,98840,227330,Yes,1,,,,,,,,,,,,,,,,,1,1
21,Abu Dhabi,1582.2,Yes,Qasr Al Hosn,,Level 0,DCT,AL HISN,CBD-Mina- Reem-Maryah,1,CBD,Detailed,Yes,2016,32998,0,0,0,0,0,3128,1810,0,28060,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,5423,167890,214791,1717,No,1,,,,,,,,,,,,,,,,,1,1
22,Abu Dhabi,36322.0,Yes,"Low Income Housing - Akwan, Al Hisn",,Level 0,Modon,AL HISN,CBD-Mina- Reem-Maryah,1,CBD,DCR Approval,Yes,2023,200726,11875,5547,5547,,196909,3670,147,0,0,0,0,,,,2026,Not Approved Yet,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,7845,251030,32216,2849,No,,,,,,,,,,,,,,,,,0,0,1
23,Abu Dhabi,5434.0,Yes,Residential & Commercial Tower (W4_P5),,Level 0,Foundation Property Management,AL HISN,CBD-Mina- Reem-Maryah,1,CBD,Detailed (4),Yes,2013,60853,NA,NA,0,0,55793,5060,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,3089,100495,845,10035,Shared,1,,,,,,,,,,,,,,,,,1,1
24,Abu Dhabi,1739.0,Yes,"Emirates Stallions (C59, C60, C63, C64)",,Level 0,Emirates Stallion Properties ,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,CBD,Pre-Concept,Yes,2016,164000,,,,,,,,,,,,,,,NA,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,Shared,,,,,,,,,,,,,,,,,1,1,1
25,Abu Dhabi,1106.0,Yes,"Y-Tower, C61_C63",,Level 0,EMKE Group,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,CBD,Dev. Regulations,Yes,2017,122530,,,,,,,,,,,,,,,NA,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,2930,304642,5245,0,Shared,,,,,,,,,,,,,,,,,1,1,1
26,Abu Dhabi,1039.0,Yes,Royal Towers (Al Hashemi Residential and Hotel Apartments),,Level 0,Private,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,Abu Dhabi Island,Concept,Yes,2016,33500,,,,,,,,33500,,,,,,,NA,,,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,Shared,,,,,1,,,,,,,,,,,,,1,1
27,Abu Dhabi,1039.1,Yes,Hashemi Hotel,,Level 0,Private,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,Abu Dhabi Island,Detailed (2),Yes,2016,32624,0,0,0,0,0,3485,0,29139,0,0,0,,,,2017,,,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,Shared,,1,,,,,,,,,,,,,,,,1,1
28,Abu Dhabi,1084.0,Yes,Navy Base,,Level 0,AD Government,AL ZAHIYAH,CBD-Mina- Reem-Maryah,1,Abu Dhabi Island,Concept,Expired,2011,458188,7650,2189,,,314960,14372,25828,56429,46599,0,0,,,,NA,To be confirmed about Land Ownership,,,Not Approved / Lapsed,Future,Future,Yes,folder,,1,,1339,67619,29767,19633,Shared,,,,,,,,,,,,1,,,,,0,1,0
29,Abu Dhabi,1251.0,No,Marina Village,,Level 0,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,,,,860453,2201,459,65,394,240490,400840,32768,171858,4497,0,10000,,,,NA,Summation of All Approved Sub Master Plans,,,Partially Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
30,Abu Dhabi,1251.1,Yes,Fairmont Hotel,1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed (3),Yes,2016,146044,177,65,65,,7093,0,0,137454,1497,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,40,1759,0,0,No,1,,,,,,,,,,,,,,,,,1,1
31,Abu Dhabi,1251.2,Yes,Marina Village Villas,1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed,Yes,2013,95000,720,100,0,100,95000,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,985,22066,245,0,No,1,,,,,,,,,,,,,,,,,1,1
32,Abu Dhabi,1251.2.1,Yes,Al Marina Island Royal Villas,1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed: MinorAmendment,Yes,2022,19047,105,19,0,19,19047,0,0,0,0,0,0,,,,2023,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,Shared,,,,1,,,,,,,,,,,,,,1,1
33,Abu Dhabi,1251.3,Yes,"Kasser Al Amwaj
",1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed: Minor Amendment (4),Yes,2016,122974,1199,275,0,275,119350,624,0,0,3000,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,3128,85749,0,0,No,1,,,,,,,,,,,,,,,,,1,1
34,Abu Dhabi,1251.4,Yes,Marina Mall Extention Phase 2,1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed (3),Yes,2017,456455,0,0,0,0,0,380000,32051,34404,0,0,10000,,,,2019,,,,Partially Delivered,Committed,Pipeline,,folder,,3,,945,1473,136393,23819,No,,,,,,,,,,,,,,,,,1,1,1
35,Abu Dhabi,1251.6,Yes,Marina walk - Marina Promenade Phase 1,1251.0,Level 1,NIC,AL KASIR,Western Corniche & Lulu,2,Marina Village,Detailed (1),Yes,2018,20933,0,0,0,0,0,20216,717,0,0,0,0,,,,2020,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,0,0,3620,0,No,,,,,1,,,,,,,,,,,,,1,1
36,Abu Dhabi,1119.0,Yes,Nareel Island,,Level 0,Aldar,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed: MinorAmendment (5),Yes,2020,225107,1199,152,,152,221551,2600,0,0,936,0,20,,,,2020,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,107,7230,1010,15334,No,,,,,,,1,,,,,,,,,,,1,1
37,Abu Dhabi,1303.0,Yes,Al Bateen Park Development,,Level 0,Aldar,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed (4),Yes,2010,123189,NA,359,359,0,120002,2363,0,0,824,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,563,74750,4651,0,No,1,,,,,,,,,,,,,,,,,1,1
38,Abu Dhabi,17932.0,Yes,Corniche Redevelopment - Project Aqua,,Level 0,Miral,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed: MinorAmendment,Yes,2018,1999,0,0,0,0,0,1613,0,0,386,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,0,0,1110,0,Yes,1,,,,,,,,,,,,,,,,,1,1
39,Abu Dhabi,1131.0,Yes,United Square,,Level 0,ICT,AL KHALIDIYAH,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2013,64750,NA,287,287,0,49208,5977,7101,0,0,0,2464,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
40,Abu Dhabi,1238.0,Yes,Marasy,,Level 0,ICT,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2010,62590,593,369,369,0,57766,2474,0,0,2350,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
41,Abu Dhabi,1105.1,No,Al Manhal phase 1,1105.0,Level 1,ICT,AL MANHAL,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed (3),Yes,2012,468541,5567.114286,967,967,0,194849,33710,166211,63808,9963,0,0,,,,2013,,,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
42,Abu Dhabi,5686.0,Yes,ADNOC New Medical Center,,Level 0,ADNOC,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed (2),Yes,2015,28184.13,NA,NA,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,128,14076,0,18529,Shared,1,,,,,,,,,,,,,,,,,1,1
43,Abu Dhabi,1005.0,Yes,Etihad Towers,,Level 0,Private,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2009,235947,3898,1083,1083,0,151507,12086,45462,26892,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
44,Abu Dhabi,1958.0,Yes,Marina Mixed Use Dev,,Level 0,Private,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2012,52447,NA,35,35,0,13006,2413,0,36631,397,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
45,Abu Dhabi,1475.0,Yes,Marina Mixed Use Development- Bloom,,Level 0,Bloom,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2013,86437,NA,225,225,0,39959,4997,0,40384,1097,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,7923,330102,20392,19786,Shared,1,,,,,,,,,,,,,,,,,1,1
46,Abu Dhabi,24640.0,Yes,Blue Marine,,Level 0,Private,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Concept,Yes,2021,52592,483,101,16,85,48150,3730,0,0,712,0,0,,,,2023,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,Shared,,,,,,,,,,,,,,,,,1,1,1
47,Abu Dhabi,1025.0,Yes,Bateen Wharf,,Level 0,DCT,AL BATEEN,Western Corniche & Lulu,2,Abu Dhabi Island,Detailed,Yes,2013,5528,NA,NA,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
48,Abu Dhabi,2573.0,No,Sheikh Khalifa Medical City MP,2573.0,Level 0,SEHA,AL MANHAL,Western Corniche & Lulu,2,Abu Dhabi Island,DCR Approval,Yes,2022,224000,0,0,0,0,0,0,0,0,224000,0,0,0,224000,0,NA,"New Hospital project of 72,000 SqM Approved to the existing 152,000 SqM within the  MP",,,Partially Delivered,Committed,Pipeline,,folder,,2,,2833,103425,5497,22336,Shared,,,1,,,,,,,,,,,,,,,1,1
49,Abu Dhabi,1122.0,No,Al Gurm Master Plan,,Level 0,Aldar,AL QURM,Mid AD Island,3,Abu Dhabi Island,Detailed (2),Yes,2014,100688,932,73,0,73,92695.9519,2447.67,2850,0,2694.643,0,0,,,,2030,,,,Partially Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,No,1,,,,,,,,,,,,,,,,,1,1
50,Abu Dhabi,18932.0,Yes,Al Gurm Phase II,1122.0,Level 0,Aldar,AL QURM,Mid AD Island,3,Abu Dhabi Island,Detailed: MinorAmendment,Yes,2019,100289,525,71,0,71,100289,0,0,0,0,0,0,,,,2022,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,217,26875,1229,0,No,,,,,,,1,,,,,,,,,,,1,1
51,Abu Dhabi,1042.0,Yes,Danet Abu Dhabi,,Level 0,Q Properties,AL SA`ADAH,Mid AD Island,3,Abu Dhabi Island,Detailed: MinorAmendment,Yes,2022,976342,19560,4598,4598,0,631092,61331,140763,121755,21400,0,0,,,,2025,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,19700,623428,80919,166646,Yes,,,,,,,1,,,,,,,,,,,1,1
52,Abu Dhabi,1013.0,Yes,Eastern Mangroves Angsana Resort,,Level 0,DCT,AL KHEERAN,Mid AD Island,3,Abu Dhabi Island,Detailed,Yes,2009,127161,901,222,222,0,74519,2889,0,49509,244,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,0,0,0,0,No,1,,,,,,,,,,,,,,,,,1,1
53,Abu Dhabi,2154.0,Yes,Mushrif Central Park,,Level 0,Al Ain Properties LLC,AL MUSHRIF,Mid AD Island,3,Abu Dhabi Island,Detailed,Yes,2013,6594,NA,NA,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,1,,0,0,310,181,NA,1,,,,,,,,,,,,,,,,,1,1
54,Abu Dhabi,5619.0,Yes,Khalifa University Extension,,Level 0,KUSTAR,HADBAT AL ZA`FARANAH,Mid AD Island,3,Abu Dhabi Island,Detailed: Minor Amendment (2),Yes,2016,101500,NA,NA,0,0,0,0,0,0,101500,0,0,101500,0,0,Completed,,,,Completed,Completed,Completed,,folder,,1,,0,0,30,0,No,1,,,,,,,,,,,,,,,,,1,1
55,Abu Dhabi,5436.0,Yes,First Gulf Bank office building,,Level 0,FAB,AL MUNTAZAH,Khor AL Maqta,4,Abu Dhabi Island,Detailed,Yes,2013,40360,0,0,0,0,0,0,40360,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
56,Abu Dhabi,5746.0,Yes,Traditional Souq,,Level 0,Q Properties,AL RAWDAH,Khor AL Maqta,4,Grand Mosque District,Detailed: MinorAmendment,Yes,2019,105520,0,0,0,0,0,88755,0,16765,0,0,0,,,,2021,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,68,2846,0,0,No,,1,,,,,,,,,,,,,,,,1,1
57,Abu Dhabi,1146.0,Yes,"ADNEC, Capital Centre Master Plan",,Level 0,ADNEC,AL RAWDAH,Khor AL Maqta,4,Grand Mosque District,Detailed (2),Yes,2017,743201,5252,1393,1393,,137128,32695,248717,323203,1457,0,0,,,,2020,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,6457,164197,26138,125377,No,,,1,,,,,,,,,,,,,,,1,1
58,Abu Dhabi,1621.0,Yes,Bloom Gardens,,Level 0,Bloom,AL MUNTAZAH,Khor AL Maqta,4,Grand Mosque District,Detailed: Minor Amendment (4),Yes,2018,179068,2320,457,0,457,148266,1595,0,0,29077,0,130,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
59,Abu Dhabi,25258.0,Yes,Capital Garden,,Level 0,Capital Gardens,AL MUNTAZAH,Khor AL Maqta,4,Grand Mosque District,Detailed: MinorAmendment,Yes,2022,34337,881,182,181,1,34306,0,0,0,31,0,0,,,,2023,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,5353,234181,2671,75308,No,1,,,,,,,,,,,,,,,,,1,1
60,Abu Dhabi,1236.0,Yes,Rawdhat Abu Dhabi,,Level 0,Q Properties,AL MUNTAZAH,Khor AL Maqta,4,Grand Mosque District,Detailed (2),Yes,2017,839156,11567,3831,3831,,524347,37721,269983,0,7105,0,0,,,,2020,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,4915,273244,286,22198,No,,,,,,,1,,,,,,,,,,,1,1
61,Abu Dhabi,1164.0,Yes,Zayed Sports City,,Level 0,Mubadala,AL RAWDAH,Khor AL Maqta,4,Grand Mosque District,Concept (4),Yes,2018,1927515,29577,7278,7200,78,1231783,337779,51811,71500,234542,100,0,,,,NA,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,14,,31160,1231783,297469,51811,Yes,,,,,,,,,,,,0.5,,,,,0.5,0.5,1
62,Abu Dhabi,12222.0,Yes,Armed Forces Officers Club Expansion,,Level 0,Royal Development Company,AL MUZOUN,Khor AL Maqta,4,Grand Mosque District,Detailed,Yes,,222562,900,449,,449,84196,1970,,110025,590,8380,17401,,,,2045,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,142,6720,2195,13438,No,,,,,,,,,,,,,,,,,0.8,0.8,1
63,Abu Dhabi,5425.0,Yes,Military officers Accomondation,,Level 0,ADP GHQ,RABDAN,Khor AL Maqta,4,Abu Dhabi,Detailed,Yes,2012,143328,0,0,0,0,137933,0,0,0,5395,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,Shared,1,,,,,,,,,,,,,,,,,1,1
64,Abu Dhabi,18495.0,No,Hudayriat Island Master Plan,,Level 0,Modon,AL HIDAYRIYYAT,Hudayriyat,5,Hudayriat Island,Pre-Concept,Yes,NA,13382356,154936,31461,21565,9896,11459693.18,545503,211483,105081,1060595.78,0,0,,,,NA,Islandwide CMP annuled - summation of Sub-Master plans,,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
65,Abu Dhabi,18495.1,Yes,Hudayriat Island PDA,18495.0,Level 1,Modon,AL HIDAYRIYYAT,Hudayriyat,5,Hudayriat Island,Detailed: MinorAmendment (1),Yes,2023,3202339,51121,13435,11165,2270,2840326,69212,26630,60081,206089.78,0,0,,,,2031,Priority Development Area DMP,,,Approved but Not Delivered,Committed,Pipeline,,folder,Updated,36,,50707,2735478,96876,26156,Yes,,,,0.34,,0.5,,0.16,,,,,,,,,,0.5,1
66,Abu Dhabi,18495.2,Yes,Hudayriyat West MasterPlan,18495.0,Level 1,Modon,AL HIDAYRIYYAT,Hudayriyat,5,Hudayriat Island,Detailed: MinorAmendment (1),Yes,2023,650260,0,0,0,0,0,128169,184853,45000,292238,0,0,,,,2028,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,52,,0,0,97006,200160,Yes,,,,,,,,1,,,,,,,,,,1,1
67,Abu Dhabi,37817.0,Yes,Hudayriat East MP,18495.0,Level 1,Modon,AL HIDAYRIYYAT,Hudayriyat,5,Hudayriat Island,Pre-Concept,No,NA,9529757,103815,18026,10400,7626,8619367.181,348122,0,0,562268,0,0,,,,2028,,,,Not Approved / Lapsed,Future,Future,Yes,folder,,30,,3518,156940,4110,3000,No,,,,,,,,,,,,,,,,,0.8,0.8,0.8
